timestamp,date,hour_utc,minute,outcome,up_price,down_price,btc_open,btc_close,btc_change_pct
1772868600,2026-03-07,7,30,up,1.0,0.0,67727.6,67748.8,0.0313
1772868900,2026-03-07,7,35,down,0.0,1.0,67748.81,67689.71,-0.0872
1772869200,2026-03-07,7,40,up,1.0,0.0,67689.71,67794.85,0.1553
1772869500,2026-03-07,7,45,down,0.0,1.0,67794.86,67784.88,-0.0147
1772869800,2026-03-07,7,50,up,1.0,0.0,67784.88,67822.58,0.0556
1772870100,2026-03-07,7,55,up,1.0,0.0,67822.58,67842.67,0.0296
1772870400,2026-03-07,8,0,down,0.0,1.0,67842.67,67802.38,-0.0594
1772870700,2026-03-07,8,5,up,1.0,0.0,67802.39,67803.48,0.0016
1772871000,2026-03-07,8,10,up,1.0,0.0,67803.48,67872.63,0.102
1772871300,2026-03-07,8,15,up,1.0,0.0,67872.64,67932.52,0.0882
1772871600,2026-03-07,8,20,up,1.0,0.0,67932.51,67972.19,0.0584
1772871900,2026-03-07,8,25,down,0.0,1.0,67972.19,67946.49,-0.0378
1772872200,2026-03-07,8,30,down,0.0,1.0,67946.49,67925.21,-0.0313
1772872500,2026-03-07,8,35,down,0.0,1.0,67925.21,67904.17,-0.031
1772872800,2026-03-07,8,40,down,0.0,1.0,67904.17,67900.01,-0.0061
1772873100,2026-03-07,8,45,up,1.0,0.0,67900.01,67909.58,0.0141
1772873400,2026-03-07,8,50,down,0.0,1.0,67909.58,67886.29,-0.0343
1772873700,2026-03-07,8,55,down,0.0,1.0,67886.29,67795.4,-0.1339
1772874000,2026-03-07,9,0,down,0.0,1.0,67795.4,67788.0,-0.0109
1772874300,2026-03-07,9,5,up,1.0,0.0,67788.01,67843.66,0.0821
1772874600,2026-03-07,9,10,up,1.0,0.0,67843.66,67970.87,0.1875
1772874900,2026-03-07,9,15,down,0.0,1.0,67970.87,67946.66,-0.0356
1772875200,2026-03-07,9,20,down,0.0,1.0,67946.66,67952.15,0.0081
1772875500,2026-03-07,9,25,up,1.0,0.0,67952.15,67958.52,0.0094
1772875800,2026-03-07,9,30,up,1.0,0.0,67958.52,67982.07,0.0347
1772876100,2026-03-07,9,35,up,1.0,0.0,67982.08,68003.0,0.0308
1772876400,2026-03-07,9,40,down,0.0,1.0,68002.99,67965.98,-0.0544
1772876700,2026-03-07,9,45,up,1.0,0.0,67965.97,68002.67,0.054
1772877000,2026-03-07,9,50,down,0.0,1.0,68002.68,67986.36,-0.024
1772877300,2026-03-07,9,55,up,1.0,0.0,67986.36,68000.0,0.0201
1772877600,2026-03-07,10,0,up,1.0,0.0,68000.0,68050.0,0.0735
1772877900,2026-03-07,10,5,down,0.0,1.0,68050.0,68042.5,-0.011
1772878200,2026-03-07,10,10,up,1.0,0.0,68042.51,68093.04,0.0743
1772878500,2026-03-07,10,15,down,0.0,1.0,68093.04,67988.88,-0.153
1772878800,2026-03-07,10,20,down,0.0,1.0,67988.87,67950.01,-0.0572
1772879100,2026-03-07,10,25,up,1.0,0.0,67950.0,67972.08,0.0325
1772879400,2026-03-07,10,30,down,0.0,1.0,67972.08,67925.35,-0.0687
1772879700,2026-03-07,10,35,up,1.0,0.0,67925.35,67980.01,0.0805
1772880000,2026-03-07,10,40,down,0.0,1.0,67980.0,67950.81,-0.0429
1772880300,2026-03-07,10,45,up,1.0,0.0,67950.81,67974.25,0.0345
1772880600,2026-03-07,10,50,down,0.0,1.0,67974.26,67910.1,-0.0944
1772880900,2026-03-07,10,55,down,0.0,1.0,67910.09,67880.31,-0.0439
1772881200,2026-03-07,11,0,down,0.0,1.0,67880.31,67868.36,-0.0176
1772881500,2026-03-07,11,5,up,1.0,0.0,67868.35,67883.06,0.0217
1772881800,2026-03-07,11,10,up,1.0,0.0,67883.06,68186.93,0.4476
1772882100,2026-03-07,11,15,down,0.0,1.0,68186.94,68177.99,-0.0131
1772882400,2026-03-07,11,20,down,0.0,1.0,68178.0,68125.94,-0.0764
1772882700,2026-03-07,11,25,up,1.0,0.0,68125.93,68145.55,0.0288
1772883000,2026-03-07,11,30,down,0.0,1.0,68145.55,68107.51,-0.0558
1772883300,2026-03-07,11,35,up,1.0,0.0,68107.51,68113.69,0.0091
1772883600,2026-03-07,11,40,up,1.0,0.0,68113.68,68132.09,0.027
1772883900,2026-03-07,11,45,down,0.0,1.0,68132.09,68061.56,-0.1035
1772884200,2026-03-07,11,50,down,0.0,1.0,68061.55,68052.88,-0.0127
1772884500,2026-03-07,11,55,down,0.0,1.0,68052.88,68010.01,-0.063
1772884800,2026-03-07,12,0,up,1.0,0.0,68010.0,68076.81,0.0982
1772885100,2026-03-07,12,5,down,0.0,1.0,68076.81,67987.24,-0.1316
1772885400,2026-03-07,12,10,up,1.0,0.0,67987.25,68000.01,0.0188
1772885700,2026-03-07,12,15,up,1.0,0.0,68000.0,68026.19,0.0385
1772886000,2026-03-07,12,20,up,1.0,0.0,68026.2,68056.99,0.0453
1772886300,2026-03-07,12,25,down,0.0,1.0,68057.0,68025.0,-0.047
1772886600,2026-03-07,12,30,up,1.0,0.0,68024.99,68034.31,0.0137
